ano,semana,dia,tipo,salmo,antigo_testamento,novo_testamento
Ano A,Próprio 28,Qua,Complementar,Salmo 9.1-14,Jó 16.1-21,Mateus 24.45-51
Ano A,Próprio 28,Qua,Semicontínua,"Salmo 83.1-4, 9-10, 17-18",Ester 7.1-10,Mateus 24.45-51
Ano A,Próprio 29,Qui,Complementar,Salmo 95.1-7a,I Reis 22.13-23,Gênesis 48.15-22
Ano A,Próprio 29,Qui,Semicontínua,Salmo 100,Gênesis 48.15-22,Apocalipse 14.1-11
Ano A,Próprio 29,Sex,Complementar,Salmo 95.1-7a,I Crônicas 17.1-15,Isaías 40.1-11
Ano A,Próprio 29,Sex,Semicontínua,Salmo 100,Isaías 40.1-11,Apocalipse 22.1-9
Ano A,Próprio 29,Sab,Complementar,Salmo 95.1-7a,Isaías 44.21-28,Ezequiel 34.25-31
Ano A,Próprio 29,Sab,Semicontínua,Salmo 100,Ezequiel 34.25-31,Mateus 12.46-50
Ano A,Próprio 29,Seg,Complementar,Salmo 7,Ester 2.1-18,II Timóteo 2.8-13
Ano A,Próprio 29,Seg,Semicontínua,Salmo 28,Números 27.15-23,II Timóteo 2.8-13
Ano A,Próprio 29,Ter,Complementar,Salmo 7,Ester 8.3-17,Zacarias 11.4-17
Ano A,Próprio 29,Ter,Semicontínua,Salmo 28,Zacarias 11.4-17,Apocalipse 19.1-9
Ano A,Próprio 29,Qua,Complementar,Salmo 7,Ezequiel 33.7-20,Jeremias 31.10-14
Ano A,Próprio 29,Qua,Semicontínua,Salmo 28,Jeremias 31.10-14,João 5.19-40
Ano B,Advento 1,Qui,Única,"Salmo 80.1-7, 17-19",Zacarias 13.1-9,Apocalipse 14.6-13
Ano B,Advento 1,Sex,Única,"Salmo 80.1-7, 17-19",Zacarias 14.1-9,I Tessalonicenses 4.1-18
Ano B,Advento 1,Sab,Única,"Salmo 80.1-7, 17-19",Miqueias 2.1-13,Mateus 24.15-31
Ano B,Advento 1,Seg,Única,Salmo 79,Miqueias 4.1-5,Apocalipse 15.1-8
Ano B,Advento 1,Ter,Única,Salmo 79,Miqueias 4.6-13,Apocalipse 18.1-10
Ano B,Advento 1,Qua,Única,Salmo 79,Miqueias 5.1-5a,Lucas 21.34-38
Ano B,Advento 2,Qui,Única,"Salmo 85.1-2, 8-13",Oseias 6.1-6,I Tessalonicenses 1.2-10
Ano B,Advento 2,Sex,Única,"Salmo 85.1-2, 8-13",Jeremias 1.4-10,Atos 11.19-26
Ano B,Advento 2,Sab,Única,"Salmo 85.1-2, 8-13",Ezequiel 36.24-28,Marcos 11.27-33
Ano B,Advento 2,Seg,Única,Salmo 27,Isaías 26.7-15,Atos 2.37-42
Ano B,Advento 2,Ter,Única,Salmo 27,Isaías 4.2-6,Atos 11.1-18
Ano B,Advento 2,Qua,Única,Salmo 27,Malaquias 2.10-3.1,Lucas 1.5-17
Ano B,Advento 3,Qui,Única,Salmo 126,Habacuque 2.1-5,Filipenses 3.7-11
Ano B,Advento 3,Sex,Única,Salmo 126,Habacuque 3.2-6,Filipenses 3.12-16
Ano B,Advento 3,Sab,Única,Salmo 126,Habacuque 3.13-19,Mateus 21.28-32
Ano B,Advento 3,Seg,Única,Salmo 125,I Reis 18.1-18,Efésios 6.10-17
Ano B,Advento 3,Ter,Única,Salmo 125,II Reis 2.9-22,Atos 3.17-4.4
Ano B,Advento 3,Qua,Única,Salmo 125,Malaquias 3.16-4.6,Marcos 9.9-13
Ano B,Advento 4,Qui,Única,"Salmo 89.1-4, 19-26",II Samuel 6.1-11,Hebreus 1.1-4
Ano B,Advento 4,Sex,Única,"Salmo 89.1-4, 19-26",II Samuel 6.12-19,Hebreus 1.5-14
Ano B,Advento 4,Sab,Única,"Salmo 89.1-4, 19-26",Juízes 13.2-24,João 7.40-52
Ano B,Advento 4,Seg,Única,Lucas 1.46b-55 (Cântico),I Samuel 1.1-18,Hebreus 9.1-14
Ano B,Advento 4,Ter,Única,Lucas 1.46b-55 (Cântico),I Samuel 1.19-28,Hebreus 8.1-13
Ano B,Advento 4,Qua,Única,Lucas 1.46b-55 (Cântico),I Samuel 2.1-10,Marcos 11.1-11
Ano B,Natal,22 Dez,Única,Salmo 96,Sofonias 3.8-13,Romanos 10.5-13
Ano B,Natal,23 Dez,Única,Salmo 96,Sofonias 3.14-20,Romanos 13.11-14
Ano B,Natal,24 Dez,Única,Salmo 96,Eclesiastes 3.1-8,Tiago 1.17-18
Ano B,Natal,26 Dez,Única,Salmo 148,"Jeremias 26.1-9, 12-15","Atos 6.8-15; 7.51-60"
Ano B,Natal,27 Dez,Única,Salmo 148,Êxodo 33.18-23,I João 1.1-9
Ano B,Natal,28 Dez,Única,Salmo 148,Jeremias 31.15-17,Mateus 2.13-18
Ano B,Natal,29 Dez,Única,Salmo 148,Isaías 49.5-15,Mateus 12.46-50
Ano B,Natal,30 Dez,Única,Salmo 148,Provérbios 9.1-12,II Pedro 3.8-13
Ano B,Natal,31 Dez,Única,Salmo 148,I Reis 3.5-14,João 8.12-19
Ano B,Natal,2 Jan,Única,Salmo 148,Provérbios 1.1-7,Tiago 3.13-18
Ano B,Epifania,3 Jan,Única,Salmo 110,Provérbios 1.20-33,Tiago 4.1-10
Ano B,Epifania,4 Jan,Única,Salmo 110,Provérbios 3.1-12,Tiago 4.11-17
Ano B,Epifania,5 Jan,Única,Salmo 110,Provérbios 22.1-9,Lucas 6.27-31
Ano B,Epifania,7 Jan,Única,Salmo 110,Êxodo 1.22-2.10,Hebreus 11.23-26
Ano B,Epifania,8 Jan,Única,Salmo 110,Êxodo 2.11-25,Hebreus 11.27-28
Ano B,Epifania,9 Jan,Única,Salmo 110,Êxodo 3.7-15,João 8.39-59
Ano B,Batismo,Qui,Única,Salmo 29,I Samuel 3.1-21,Atos 9.10-19a
Ano B,Batismo,Sex,Única,Salmo 29,I Samuel 16.1-13,I Timóteo 4.11-16
Ano B,Batismo,Sab,Única,Salmo 29,"I Reis 2.1-4, 10-12",Lucas 5.1-11
Ano B,Batismo,Seg,Única,"Salmo 69.1-5, 30-36",Gênesis 17.1-13,Romanos 4.1-12
Ano B,Batismo,Ter,Única,"Salmo 69.1-5, 30-36",Êxodo 30.22-38,Atos 22.2-16
Ano B,Batismo,Qua,Única,"Salmo 69.1-5, 30-36",Isaías 41.14-20,João 1.29-34
Ano B,Epifania 2,Qui,Única,"Salmo 139.1-6, 13-18",Juízes 2.6-15,II Coríntios 10.1-11
Ano B,Epifania 2,Sex,Única,"Salmo 139.1-6, 13-18",Juízes 2.16-23,Atos 13.16-25
Ano B,Epifania 2,Sab,Única,"Salmo 139.1-6, 13-18",I Samuel 2.21-25,Mateus 25.1-13
Ano B,Epifania 2,Seg,Única,Salmo 86,I Samuel 9.27-10.8,II Coríntios 6.14-7.1
Ano B,Epifania 2,Ter,Única,Salmo 86,I Samuel 15.10-31,Atos 5.1-11
Ano B,Epifania 2,Qua,Única,Salmo 86,Gênesis 16.1-14,Lucas 18.15-17
Ano B,Epifania 3,Qui,Única,Salmo 62.5-12,Jeremias 19.1-15,Apocalipse 18.11-20
Ano B,Epifania 3,Sex,Única,Salmo 62.5-12,Jeremias 20.7-13,II Pedro 3.1-7
Ano B,Epifania 3,Sab,Única,Salmo 62.5-12,Jeremias 20.14-18,Lucas 10.13-16
Ano B,Epifania 3,Seg,Única,Salmo 46,Gênesis 12.1-9,I Coríntios 7.17-24
Ano B,Epifania 3,Ter,Única,Salmo 46,Gênesis 45.25-46.7,Atos 5.33-42
Ano B,Epifania 3,Qua,Única,Salmo 46,Provérbios 8.1-21,Marcos 3.13-19a
Ano B,Epifania 4,Qui,Única,Salmo 111,Deuteronômio 3.23-29,Romanos 9.6-18
Ano B,Epifania 4,Sex,Única,Salmo 111,Deuteronômio 12.28-32,Apocalipse 2.12-17
Ano B,Epifania 4,Sab,Única,Salmo 111,Deuteronômio 13.1-5,Mateus 8.28-9.1
Ano B,Epifania 4,Seg,Única,Salmo 35.1-10,Números 22.1-21,Atos 21.17-26
Ano B,Epifania 4,Ter,Única,Salmo 35.1-10,Números 22.22-28,I Coríntios 7.32-40
Ano B,Epifania 4,Qua,Única,Salmo 35.1-10,Jeremias 29.1-14,Marcos 5.1-20
Ano B,Epifania 5,Qui,Única,"Salmo 147.1-11, 20c",Provérbios 12.10-21,Gálatas 5.2-15
Ano B,Epifania 5,Sex,Única,"Salmo 147.1-11, 20c",Jó 36.1-23,I Coríntios 9.1-16
Ano B,Epifania 5,Sab,Única,"Salmo 147.1-11, 20c",Isaías 46.1-13,Mateus 12.9-14
Ano B,Epifania 5,Seg,Única,Salmo 102.12-28,II Reis 4.8-17; 32-37,Atos 14.1-7
Ano B,Epifania 5,Ter,Única,Salmo 102.12-28,II Reis 8.1-6,Atos 15.36-41
Ano B,Epifania 5,Qua,Única,Salmo 102.12-28,Jó 6.1-13,Marcos 3.7-12
Ano B,Epifania 6,Qui,Única,Salmo 30,Levítico 13.1-17,Hebreus 12.7-13
Ano B,Epifania 6,Sex,Única,Salmo 30,Levítico 14.1-20,Atos 19.11-20
Ano B,Epifania 6,Sab,Única,Salmo 30,Levítico 14.21-32,Mateus 26.6-13
Ano B,Epifania 6,Seg,Única,Salmo 6,II Crônicas 26.1-21,Atos 3.1-10
Ano B,Epifania 6,Ter,Única,Salmo 6,II Reis 7.3-10,I Coríntios 10.14-11.1
Ano B,Epifania 6,Qua,Única,Salmo 6,Jó 30.16-31,João 4.46-54
Ano B,Epifania 7,Qui,Única,Salmo 41,II Crônicas 7.12-22,III João 2-8
Ano B,Epifania 7,Sex,Única,Salmo 41,Isaías 38.1-8,Hebreus 12.7-13
Ano B,Epifania 7,Sab,Única,Salmo 41,Isaías 39.1-8,Lucas 4.38-41
Ano B,Epifania 7,Seg,Única,Salmo 38,Isaías 30.18-26,Atos 14.8-18
Ano B,Epifania 7,Ter,Única,Salmo 38,Miqueias 4.1-7,II Coríntios 1.1-11
Ano B,Epifania 7,Qua,Única,Salmo 38,Lamentações 5.1-22,João 5.19-29
Ano B,Epifania 8,Qui,Única,"Salmo 103.1-13, 22",Ezequiel 16.1-14,Romanos 3.1-8
Ano B,Epifania 8,Sex,Única,"Salmo 103.1-13, 22",Ezequiel 16.44-52,II Pedro 1.1-11
Ano B,Epifania 8,Sab,Única,"Salmo 103.1-13, 22",Ezequiel 16.53-63,João 7.53-8.11
Ano B,Epifania 8,Seg,Única,Salmo 45.6-17,Oseias 3.1-5,II Coríntios 1.23-2.11
Ano B,Epifania 8,Ter,Única,Salmo 45.6-17,Oseias 14.1-9,II Coríntios 11.1-15
Ano B,Epifania 8,Qua,Única,Salmo 45.6-17,Isaías 62.1-5,João 3.22-36
Ano B,Epifania 9,Qui,Única,Salmo 81.1-10,Êxodo 31.12-18,Atos 25.1-12
Ano B,Epifania 9,Sex,Única,Salmo 81.1-10,Levítico 23.1-8,Romanos 8.31-39
Ano B,Epifania 9,Sab,Única,Salmo 81.1-10,Levítico 24.5-9,João 7.19-24
Ano B,Último Epifania,Qui,Única,Salmo 50.1-6,I Reis 11.26-40,II Coríntios 2.12-17
Ano B,Último Epifania,Sex,Única,Salmo 50.1-6,I Reis 14.1-18,I Timóteo 1.12-20
Ano B,Último Epifania,Sab,Única,Salmo 50.1-6,I Reis 16.1-7,Lucas 19.41-44
Ano B,Último Epifania,Seg,Única,Salmo 110.1-4,Êxodo 19.7-25,Hebreus 2.1-4
Ano B,Último Epifania,Ter,Única,Salmo 110.1-4,Jó 19.23-27,I Timóteo 3.14-16
Ano B,Quaresma 1,Qua,Única,Salmo 25.1-10,Daniel 9.1-14,I João 1.3-10
Ano B,Quaresma 1,Qui,Única,Salmo 25.1-10,Daniel 9.15-25a,II Timóteo 4.1-5
Ano B,Quaresma 1,Sab,Única,Salmo 25.1-10,Salmo 32,Mateus 9.2-13
Ano B,Quaresma 1,Seg,Única,Salmo 77,Jó 4.1-21,Efésios 2.1-10
Ano B,Quaresma 1,Ter,Única,Salmo 77,Jó 5.8-27,I Pedro 3.8-18a
Ano B,Quaresma 1,Qua,Única,Salmo 77,Provérbios 30.1-9,Mateus 4.1-11
Ano B,Quaresma 2,Qui,Única,Salmo 22.23-31,"Gênesis 15.1-6, 12-18",Romanos 3.21-31
Ano B,Quaresma 2,Sex,Única,Salmo 22.23-31,Gênesis 16.1-6,Romanos 4.1-12
Ano B,Quaresma 2,Sab,Única,Salmo 22.23-31,Gênesis 16.7-15,Marcos 8.27-30
Ano B,Quaresma 2,Seg,Única,"Salmo 105.1-11, 37-45",Gênesis 21.1-7,Hebreus 1.8-12
Ano B,Quaresma 2,Ter,Única,"Salmo 105.1-11, 37-45",Gênesis 22.1-19,"Hebreus 11.1-3, 13-19"
Ano B,Quaresma 2,Qua,Única,"Salmo 105.1-11, 37-45",Jeremias 30.12-22,João 12.36-43
Ano B,Quaresma 3,Qui,Única,Salmo 19,Êxodo 19.1-9a,I Pedro 2.4-10
Ano B,Quaresma 3,Sex,Única,Salmo 19,Êxodo 19.9b-15,Atos 7.30-40
Ano B,Quaresma 3,Sab,Única,Salmo 19,Êxodo 19.16-25,Marcos 9.2-8
Ano B,Quaresma 3,Seg,Única,Salmo 84,"I Reis 6.1-4, 21-22",I Coríntios 3.10-23
Ano B,Quaresma 3,Ter,Única,Salmo 84,"II Crônicas 29.1-11, 16-19",Hebreus 9.23-28
Ano B,Quaresma 3,Qua,Única,Salmo 84,Esdras 6.1-16,Marcos 11.15-19
Ano B,Quaresma 4,Qui,Única,"Salmo 107.1-3, 17-22",Gênesis 9.8-17,Efésios 1.3-6
Ano B,Quaresma 4,Sex,Única,"Salmo 107.1-3, 17-22",Daniel 12.5-13,Efésios 1.7-14
Ano B,Quaresma 4,Sab,Única,"Salmo 107.1-3, 17-22",Números 20.22-29,João 3.1-13
Ano B,Quaresma 4,Seg,Única,Salmo 107.1-16,Êxodo 15.22-27,Hebreus 3.1-6
Ano B,Quaresma 4,Ter,Única,Salmo 107.1-16,Números 20.1-13,I Coríntios 10.6-13
Ano B,Quaresma 4,Qua,Única,Salmo 107.1-16,Isaías 60.15-22,João 8.12-20
Ano B,Quaresma 5,Qui,Única,Salmo 51.1-12,Isaías 30.15-18,Hebreus 4.1-13
Ano B,Quaresma 5,Sex,Única,Salmo 51.1-12,Êxodo 30.1-10,Hebreus 4.14-5.4
Ano B,Quaresma 5,Sab,Única,Salmo 51.1-12,Habacuque 3.2-13,João 12.1-11
Ano B,Quaresma 5,Seg,Única,Salmo 119.9-16,Isaías 43.8-13,II Coríntios 3.4-11
Ano B,Quaresma 5,Ter,Única,Salmo 119.9-16,Isaías 44.1-8,Atos 2.14-24
Ano B,Quaresma 5,Qua,Única,Salmo 119.9-16,"Ageu 2.1-9, 20-23",João 12.34-50
Ano B,Ramos,Qui,Única,"Salmo 118.1-2, 19-29",Deuteronômio 16.1-8,Filipenses 2.1-11
Ano B,Ramos,Sex,Única,"Salmo 118.1-2, 19-29",Jeremias 33.1-9,Filipenses 2.12-18
Ano B,Ramos,Sab,Única,"Salmo 118.1-2, 19-29",Jeremias 33.10-16,"Marcos 10.32-34, 46-52"
Ano B,Páscoa 1,Seg,Única,"Salmo 118.1-2, 14-24",Gênesis 1.1-19,I Coríntios 15.35-49
Ano B,Páscoa 1,Ter,Única,"Salmo 118.1-2, 14-24",Gênesis 1.20-2.4a,I Coríntios 15.50-58
Ano B,Páscoa 1,Qua,Única,"Salmo 118.1-2, 14-24",Cântico dos Cânticos 3.1-11,Marcos 16.1-8
Ano B,Páscoa 2,Qui,Única,Salmo 133,Daniel 1.1-21,Atos 2.42-47
Ano B,Páscoa 2,Sex,Única,Salmo 133,Daniel 2.1-23,Atos 4.23-31
Ano B,Páscoa 2,Sab,Única,Salmo 133,Daniel 2.24-49,João 12.44-50
Ano B,Páscoa 2,Seg,Única,Salmo 135,Daniel 3.1-30,I João 2.3-11
Ano B,Páscoa 2,Ter,Única,Salmo 135,Daniel 6.1-28,I João 2.12-17
Ano B,Páscoa 2,Qua,Única,Salmo 135,Isaías 26.1-15,Marcos 12.18-27
Ano B,Páscoa 3,Qui,Única,Salmo 4,Daniel 9.1-19,I João 2.18-25
Ano B,Páscoa 3,Sex,Única,Salmo 4,Daniel 10.2-19,I João 2.26-28
Ano B,Páscoa 3,Sab,Única,Salmo 4,Atos 3.1-10,Lucas 22.24-30
Ano B,Páscoa 3,Seg,Única,Salmo 150,Jeremias 30.1-11a,I João 3.10-16
Ano B,Páscoa 3,Ter,Única,Salmo 150,Oseias 5.15-6.6,II João 1-6
Ano B,Páscoa 3,Qua,Única,Salmo 150,Provérbios 9.1-6,Marcos 16.9-18
Ano B,Páscoa 4,Qui,Única,Salmo 23,Gênesis 30.25-43,Atos 3.17-26
Ano B,Páscoa 4,Sex,Única,Salmo 23,Gênesis 46.28-47.6,Atos 4.1-4
Ano B,Páscoa 4,Sab,Única,Salmo 23,Gênesis 48.8-19,Marcos 6.30-34
Ano B,Páscoa 4,Seg,Única,Salmo 95,I Samuel 16.1-13,I Pedro 5.1-5
Ano B,Páscoa 4,Ter,Única,Salmo 95,I Crônicas 11.1-9,Apocalipse 7.13-17
Ano B,Páscoa 4,Qua,Única,Salmo 95,Miqueias 7.8-20,Marcos 14.26-31
Ano B,Páscoa 5,Qui,Única,Salmo 22.25-31,Amós 8.1-7,Atos 8.1b-8
Ano B,Páscoa 5,Sex,Única,Salmo 22.25-31,Amós 8.11-13,Atos 8.9-25
Ano B,Páscoa 5,Sab,Única,Salmo 22.25-31,Amós 9.7-15,Marcos 4.30-32
Ano B,Páscoa 5,Seg,Única,Salmo 80,Isaías 5.1-7,Gálatas 5.16-26
Ano B,Páscoa 5,Ter,Única,Salmo 80,Isaías 32.9-20,Tiago 3.17-18
Ano B,Páscoa 5,Qua,Única,Salmo 80,Isaías 65.17-25,João 14.18-31
Ano B,Páscoa 6,Qui,Única,Salmo 98,Isaías 49.5-6,Atos 10.1-34
Ano B,Páscoa 6,Sex,Única,Salmo 98,Isaías 42.5-9,Atos 10.34-43
Ano B,Páscoa 6,Sab,Única,Salmo 98,Deuteronômio 32.44-47,Marcos 10.42-45
Ano B,Páscoa 6,Seg,Única,Salmo 93,Deuteronômio 7.1-11,I Timóteo 6.11-12
Ano B,Páscoa 6,Ter,Única,Salmo 93,Deuteronômio 11.1-17,I Timóteo 6.13-16
Ano B,Páscoa 6,Qua,Única,Salmo 93,Deuteronômio 11.18-21,Marcos 16.19-20
Ano B,Páscoa 7,Sex,Única,Salmo 47,Êxodo 24.15-18,Apocalipse 1.9-18
Ano B,Páscoa 7,Sab,Única,Salmo 47,Deuteronômio 34.1-7,João 16.4-11
Ano B,Páscoa 7,Seg,Única,Salmo 115,Êxodo 28.29-38,Filipenses 1.3-11
Ano B,Páscoa 7,Ter,Única,Salmo 115,Números 8.5-22,Tito 1.1-9
Ano B,Páscoa 7,Qua,Única,Salmo 115,Esdras 9.5-15,João 16.16-24
Ano B,Pentecostes,Qui,Única,Salmo 33.12-22,Gênesis 2.4b-7,I Coríntios 15.42b-49
Ano B,Pentecostes,Sex,Única,Salmo 33.12-22,Jó 37.1-13,I Coríntios 15.50-57
Ano B,Pentecostes,Sab,Única,Salmo 33.12-22,Êxodo 15.6-11,João 7.37-39
Ano B,Pentecostes,Seg,Única,"Salmo 104.24-34, 35b",Joel 2.18-29,I Coríntios 12.4-11
Ano B,Pentecostes,Ter,Única,"Salmo 104.24-34, 35b",Gênesis 11.1-9,I Coríntios 12.12-27
Ano B,Pentecostes,Qua,Única,"Salmo 104.24-34, 35b",Ezequiel 37.1-14,João 20.19-23
Ano B,Trindade,Qui,Única,Salmo 29,"Isaías 1.1-4, 16-20",Romanos 8.1-8
Ano B,Trindade,Sex,Única,Salmo 29,Isaías 2.1-5,Romanos 8.9-11
Ano B,Trindade,Sab,Única,Salmo 29,Isaías 5.15-24,João 15.18-20; 26-27
Ano B,Trindade,Seg,Única,Salmo 20,Números 9.15-23,Apocalipse 4.1-8
Ano B,Trindade,Ter,Única,Salmo 20,Êxodo 25.1-22,I Coríntios 2.1-10
Ano B,Trindade,Qua,Única,Salmo 20,Números 6.22-27,Marcos 4.21-25
Ano B,Próprio 3,Qui,Complementar,"Salmo 103.1-13, 22",Ezequiel 16.1-14,Romanos 3.1-8
Ano B,Próprio 3,Qui,Semicontínua,"Salmo 139.1-6, 13-18",I Samuel 1.1-18,Atos 25.1-12
Ano B,Próprio 3,Sex,Complementar,"Salmo 103.1-13, 22",Ezequiel 16.44-52,II Pedro 1.1-11
Ano B,Próprio 3,Sex,Semicontínua,"Salmo 139.1-6, 13-18",I Samuel 1.19-27,Romanos 8.31-39
Ano B,Próprio 3,Sab,Complementar,"Salmo 103.1-13, 22",Ezequiel 16.53-63,João 7.53-8.11
Ano B,Próprio 3,Sab,Semicontínua,"Salmo 139.1-6, 13-18",I Samuel 2.1-10,João 7.19-24
Ano B,Próprio 3,Seg,Complementar,Salmo 45.6-17,Oseias 3.1-5,II Coríntios 1.23-2.11
Ano B,Próprio 3,Seg,Semicontínua,Salmo 99,I Samuel 2.11-17,Romanos 9.19-29
Ano B,Próprio 3,Ter,Complementar,Salmo 45.6-17,Oseias 14.1-9,II Coríntios 11.1-15
Ano B,Próprio 3,Ter,Semicontínua,Salmo 99,I Samuel 2.18-21,Atos 15.1-5
Ano B,Próprio 3,Qua,Complementar,Salmo 45.6-17,Isaías 62.1-5,João 3.22-36
Ano B,Próprio 3,Qua,Semicontínua,Salmo 99,I Samuel 2.22-36,João 5.1-18
Ano B,Próprio 4,Qui,Complementar,Salmo 81.1-10,Êxodo 31.12-18,Romanos 9.19-29
Ano B,Próprio 4,Qui,Semicontínua,"Salmo 139.1-6, 13-18",I Samuel 1.1-18,Atos 25.1-12
Ano B,Próprio 4,Sex,Complementar,Salmo 81.1-10,Levítico 23.1-8,Romanos 8.31-39
Ano B,Próprio 4,Sex,Semicontínua,"Salmo 139.1-6, 13-18",I Samuel 1.19-27,Romanos 8.31-39
Ano B,Próprio 4,Sab,Complementar,Salmo 81.1-10,Levítico 24.5-9,João 7.19-24
Ano B,Próprio 4,Sab,Semicontínua,"Salmo 139.1-6, 13-18",I Samuel 2.1-10,João 7.19-24
Ano B,Próprio 4,Seg,Complementar,"Salmo 78.1-4, 52-72",Êxodo 16.13-26,Romanos 9.19-29
Ano B,Próprio 4,Seg,Semicontínua,Salmo 99,I Samuel 2.11-17,Romanos 9.19-29
Ano B,Próprio 4,Ter,Complementar,"Salmo 78.1-4, 52-72",Êxodo 16.27-36,Atos 15.1-5,22-35
Ano B,Próprio 4,Ter,Semicontínua,Salmo 99,I Samuel 2.18-21,Atos 15.1-5
Ano B,Próprio 4,Qua,Complementar,"Salmo 78.1-4, 52-72",I Samuel 21.1-6,João 5.1-18
Ano B,Próprio 4,Qua,Semicontínua,Salmo 99,I Samuel 2.22-36,João 5.1-18
Ano B,Próprio 5,Qui,Complementar,Salmo 130,Isaías 28.9-13,I Pedro 4.7-19
Ano B,Próprio 5,Qui,Semicontínua,Salmo 138,I Samuel 4.1-22,I Pedro 4.7-19
Ano B,Próprio 5,Sex,Complementar,Salmo 130,Deuteronômio 1.34-40,II Coríntios 5.1-5
Ano B,Próprio 5,Sex,Semicontínua,Salmo 138,I Samuel 5.1-12,II Coríntios 5.1-5
Ano B,Próprio 5,Sab,Complementar,Salmo 130,Gênesis 2.4b-14,Lucas 8.4-15
Ano B,Próprio 5,Sab,Semicontínua,Salmo 138,I Samuel 6.1-18,Lucas 8.4-15
Ano B,Próprio 5,Seg,Complementar,Salmo 74,I Samuel 16.14-23,Apocalipse 20.1-6
Ano B,Próprio 5,Seg,Semicontínua,Salmo 108,I Samuel 7.3-15,Apocalipse 20.1-6
Ano B,Próprio 5,Ter,Complementar,Salmo 74,I Reis 18.17-40,Apocalipse 20.7-15
Ano B,Próprio 5,Ter,Semicontínua,Salmo 108,I Samuel 8.1-22,Apocalipse 20.7-15
Ano B,Próprio 5,Qua,Complementar,Salmo 74,Isaías 26.16-27.1,Lucas 11.14-28
Ano B,Próprio 5,Qua,Semicontínua,Salmo 108,I Samuel 9.1-14,Lucas 11.14-28
Ano B,Próprio 6,Qui,Complementar,"Salmo 92.1-4, 12-15",Gênesis 3.14-24,Hebreus 2.5-9
Ano B,Próprio 6,Qui,Semicontínua,Salmo 20,I Samuel 9.15-27,Hebreus 2.5-9
Ano B,Próprio 6,Sex,Complementar,"Salmo 92.1-4, 12-15",I Reis 10.26-11.8,Hebreus 11.4-7
Ano B,Próprio 6,Sex,Semicontínua,Salmo 20,I Samuel 10.1-8,Hebreus 11.4-7
Ano B,Próprio 6,Sab,Complementar,"Salmo 92.1-4, 12-15",II Reis 14.1-14,Marcos 4.1-20
Ano B,Próprio 6,Sab,Semicontínua,Salmo 20,I Samuel 13.1-15a,Marcos 4.1-20
Ano B,Próprio 6,Seg,Complementar,Salmo 52,Ezequiel 31.1-12,Gálatas 6.11-18
Ano B,Próprio 6,Seg,Semicontínua,Salmo 53,I Samuel 13.23-14.23,Gálatas 6.11-18
Ano B,Próprio 6,Ter,Complementar,Salmo 52,Jeremias 21.11-14,Apocalipse 21.22-22.5
Ano B,Próprio 6,Ter,Semicontínua,Salmo 53,I Samuel 15.10-23,Apocalipse 21.22-22.5
Ano B,Próprio 6,Qua,Complementar,Salmo 52,Jeremias 22.1-9,Lucas 6.43-45
Ano B,Próprio 6,Qua,Semicontínua,Salmo 53,I Samuel 15.24-31,Lucas 6.43-45
Ano B,Próprio 7,Qui,Complementar,"Salmo 107.1-3, 23-32",Jó 29.1-20,Atos 20.1-16
Ano B,Próprio 7,Qui,Semicontínua,Salmo 9.9-20,I Samuel 16.14-23,Atos 20.1-16
Ano B,Próprio 7,Sex,Complementar,"Salmo 107.1-3, 23-32",Jó 29.21-30.15,Atos 21.1-16
Ano B,Próprio 7,Sex,Semicontínua,Salmo 9.9-20,I Samuel 17.55-18.5,Atos 21.1-16
Ano B,Próprio 7,Sab,Complementar,"Salmo 107.1-3, 23-32",Jó 37.1-13,Lucas 21.25-28
Ano B,Próprio 7,Sab,Semicontínua,Salmo 9.9-20,I Samuel 18.1-4,Lucas 21.25-28
Ano B,Próprio 7,Seg,Única,Salmo 65,Êxodo 7.14-24,Atos 27.13-38
Ano B,Próprio 7,Seg,Semicontínua,Salmo 119.113-128,I Samuel 18.6-30,Atos 27.13-38
Ano B,Próprio 7,Ter,Única,Salmo 65,Êxodo 9.13-35,Atos 27.39-44
Ano B,Próprio 7,Ter,Semicontínua,Salmo 119.113-128,I Samuel 19.1-7,Atos 27.39-44
Ano B,Próprio 7,Qua,Única,Salmo 65,Josué 10.1-14,Marcos 6.45-52
Ano B,Próprio 7,Qua,Semicontínua,Salmo 119.113-128,I Samuel 19.8-17,Marcos 6.45-52
Ano B,Próprio 8,Qui,Complementar,Salmo 30,Lamentações 1.16-22,II Coríntios 7.2-16
Ano B,Próprio 8,Qui,Semicontínua,Salmo 130,I Samuel 19.18-24,II Coríntios 7.2-16
Ano B,Próprio 8,Sex,Complementar,Salmo 30,Lamentações 2.1-12,II Coríntios 8.1-7
Ano B,Próprio 8,Sex,Semicontínua,Salmo 130,I Samuel 20.1-25,II Coríntios 8.1-7
Ano B,Próprio 8,Sab,Complementar,Salmo 30,Lamentações 2.18-22,Lucas 4.31-37
Ano B,Próprio 8,Sab,Semicontínua,Salmo 130,I Samuel 20.27-42,Lucas 4.31-37
Ano B,Próprio 8,Seg,Complementar,Salmo 88,Levítico 21.1-15,II Coríntios 8.16-24
Ano B,Próprio 8,Seg,Semicontínua,"Salmo 18.1-6, 43-50",I Samuel 23.14-18,II Coríntios 8.16-24
Ano B,Próprio 8,Ter,Complementar,Salmo 88,Levítico 15.19-31,II Coríntios 9.1-5
