ano,semana,dia,tipo,salmo,antigo_testamento,novo_testamento
Ano A,Pentecostes,Ter,,Salmo 99,Números 16.41-50,I Pedro 4.7-11
Ano A,Pentecostes,Qua,,Salmo 99,I Reis 8.54-65,João 3.31-36
Ano A,Santíssima Trindade,Qui,,Salmo 33.12-22,Êxodo 19.1-9a,Atos 2.1-11
Ano A,Santíssima Trindade,Sex,,Salmo 33.12-22,Êxodo 19.16-25,Romanos 8.14-17
Ano A,Santíssima Trindade,Sab,,Salmo 33.12-22,Êxodo 20.1-21,Mateus 5.1-12
Ano A,Santíssima Trindade,Seg,,Salmo 104.24-34; 35b,Joel 2.18-29,Romanos 8.18-24
Ano A,Santíssima Trindade,Ter,,Salmo 104.24-34; 35b,"Ezequiel 39.7-8, 21-29",Romanos 8.26-27
Ano A,Santíssima Trindade,Qua,,Salmo 104.24-34; 35b,Números 11.24-30,João 7.37-39
Ano A,Próprio 3,Qui,,Salmo 8,Jó 38.1-11,II Timóteo 1.8-12a
Ano A,Próprio 3,Sex,,Salmo 8,Jó 38.12-21,II Timóteo 1.12b-14
Ano A,Próprio 3,Sab,,Salmo 8,Jó 38.22-38,João 14.15-17
Ano A,Próprio 3,Seg,,Salmo 29,Jó 38.39–39.12,I Coríntios 12.1-3
Ano A,Próprio 3,Ter,,Salmo 29,Jó 39.13-25,I Coríntios 12.4-13
Ano A,Próprio 3,Qua,,Salmo 29,Jó 39.26–40.5,João 14.25-26
Ano A,Próprio 3,Qui,Complementar,Salmo 131,Provérbios 12.22-28,Filipenses 2.19-24
Ano A,Próprio 3,Sex,Complementar,Salmo 131,Isaías 26.1-6,Filipenses 2.25-30
Ano A,Próprio 3,Sab,Complementar,Salmo 131,Isaías 31.1-9,Lucas 11.14-23
Ano A,Próprio 3,Seg,,Salmo 104,Deuteronômio 32.1-14,Hebreus 10.32-39
Ano A,Próprio 3,Ter,,Salmo 104,I Reis 17.1-16,I Coríntios 4.6-21
Ano A,Próprio 3,Qua,,Salmo 104,Isaías 66.7-13,Lucas 12.22-31
Ano A,Próprio 4,Qui,Complementar,Salmo 31.1-5; 19-24,Êxodo 24.1-8,Romanos 2.17-29
Ano A,Próprio 4,Qui,Semicontínua,Salmo 46,Gênesis 1.1–2.4a,Romanos 2.17-29
Ano A,Próprio 4,Sex,Complementar,Salmo 31.1-5; 19-24,Deuteronômio 30.1-5,Romanos 9.6-13
Ano A,Próprio 4,Sex,Semicontínua,Salmo 46,Gênesis 2.4b-25,Romanos 9.6-13
Ano A,Próprio 4,Sab,Complementar,Salmo 31.1-5; 19-24,Amós 2.6-11,Mateus 7.1-6
Ano A,Próprio 4,Sab,Semicontínua,Salmo 46,Gênesis 3.1-24,Mateus 7.1-6
Ano A,Próprio 4,Seg,Complementar,Salmo 52,Josué 8.30-35,Romanos 2.1-11
Ano A,Próprio 4,Seg,Semicontínua,Salmo 69.1-3; 13-16; 30-36,Gênesis 4.1-16,Romanos 2.1-11
Ano A,Próprio 4,Ter,Complementar,Salmo 52,"Josué 24.1-2, 11-28",Romanos 3.9-22a
Ano A,Próprio 4,Ter,Semicontínua,Salmo 69.1-3; 13-16; 30-36,Gênesis 4.17–5.5,Romanos 3.9-22a
Ano A,Próprio 4,Qua,Complementar,Salmo 52,Jó 28.12-28,Mateus 7.13-20
Ano A,Próprio 4,Qua,Semicontínua,Salmo 69.1-3; 13-16; 30-36,Gênesis 11.1-9,Mateus 7.13-20
Ano A,Próprio 5,Qui,Complementar,Salmo 50.7-15,Lamentações 1.7-11,II Pedro 2.17-22
Ano A,Próprio 5,Qui,Semicontínua,Salmo 33.1-12,Gênesis 13.1-18,II Pedro 2.17-22
Ano A,Próprio 5,Sex,Complementar,Salmo 50.7-15,Lamentações 3.40-58,Atos 28.1-10
Ano A,Próprio 5,Sex,Semicontínua,Salmo 33.1-12,Gênesis 14.17-24,Atos 28.1-10
Ano A,Próprio 5,Sab,Complementar,Salmo 50.7-15,Êxodo 34.1-9,Mateus 9.27-34
Ano A,Próprio 5,Sab,Semicontínua,Salmo 33.1-12,Gênesis 15.1-20,Mateus 9.27-34
Ano A,Próprio 5,Seg,Complementar,Salmo 40.1-8,"Levítico 15.25-31; 22.1-9",II Coríntios 6.14–7.2
Ano A,Próprio 5,Seg,Semicontínua,Salmo 119.41-48,Gênesis 16.1-15,II Coríntios 6.14–7.2
Ano A,Próprio 5,Ter,Complementar,Salmo 40.1-8,"Oseias 8.11-14; 10.1-2",Hebreus 13.1-16
Ano A,Próprio 5,Ter,Semicontínua,Salmo 119.41-48,Gênesis 17.1-27,Hebreus 13.1-16
Ano A,Próprio 5,Qua,Complementar,Salmo 40.1-8,Oseias 14.1-9,Mateus 12.1-8
Ano A,Próprio 5,Qua,Semicontínua,Salmo 119.41-48,Gênesis 18.16-33,Mateus 12.1-8
Ano A,Próprio 6,Qui,Complementar,Salmo 100,Êxodo 4.18-23,Hebreus 3.1-6
Ano A,Próprio 6,Qui,Semicontínua,Salmo 116.1-2; 12-19,Gênesis 21.1-7,Hebreus 3.1-6
Ano A,Próprio 6,Sex,Complementar,Salmo 100,Êxodo 4.27-31,Atos 7.35-43
Ano A,Próprio 6,Sex,Semicontínua,Salmo 116.1-2; 12-19,Gênesis 24.1-9,Atos 7.35-43
Ano A,Próprio 6,Sab,Complementar,Salmo 100,Êxodo 6.28–7.13,Marcos 7.1-13
Ano A,Próprio 6,Sab,Semicontínua,Salmo 116.1-2; 12-19,Gênesis 24.10-52,Marcos 7.1-13
Ano A,Próprio 6,Seg,Complementar,Salmo 105.1-11; 37-45,Josué 1.1-11,I Tessalonicenses 3.1-5
Ano A,Próprio 6,Seg,Semicontínua,Salmo 126,Gênesis 23.1-19,I Tessalonicenses 3.1-5
Ano A,Próprio 6,Ter,Complementar,Salmo 105.1-11; 37-45,I Samuel 3.1-9,II Tessalonicenses 2.13–3.5
Ano A,Próprio 6,Ter,Semicontínua,Salmo 126,Gênesis 25.7-11,II Tessalonicenses 2.13–3.5
Ano A,Próprio 6,Qua,Complementar,Salmo 105.1-11; 37-45,Provérbios 4.10-27,Lucas 6.12-19
Ano A,Próprio 6,Qua,Semicontínua,Salmo 126,Neemias 9.1-8,Lucas 6.12-19
Ano A,Próprio 7,Qui,Complementar,Salmo 69.7-10; 16-18,Jeremias 18.12-17,Hebreus 2.5-9
Ano A,Próprio 7,Qui,Semicontínua,Salmo 86.1-10,Êxodo 12.43-49,Hebreus 2.5-9
Ano A,Próprio 7,Sex,Complementar,Salmo 69.7-10; 16-18,Jeremias 18.18-23,Atos 5.17-26
Ano A,Próprio 7,Sex,Semicontínua,Salmo 86.1-10,Gênesis 35.1-4,Atos 5.17-26
Ano A,Próprio 7,Sab,Complementar,Salmo 69.7-10; 16-18,Jeremias 20.1-6,Lucas 11.53–12.3
Ano A,Próprio 7,Sab,Semicontínua,Salmo 86.1-10,Ezequiel 29.3-7,Lucas 11.53–12.3
Ano A,Próprio 7,Seg,Complementar,Salmo 6,Miqueias 7.1-7,Apocalipse 2.1-7
Ano A,Próprio 7,Seg,Semicontínua,Salmo 86.11-17,Gênesis 16.1-15,Apocalipse 2.1-7
Ano A,Próprio 7,Ter,Complementar,Salmo 6,Jeremias 26.1-12,Apocalipse 2.8-11
Ano A,Próprio 7,Ter,Semicontínua,Salmo 86.11-17,Gênesis 25.12-18,Apocalipse 2.8-11
Ano A,Próprio 7,Qua,Complementar,Salmo 6,Jeremias 38.1-13,Mateus 10.5-23
Ano A,Próprio 7,Qua,Semicontínua,Salmo 86.11-17,Jeremias 42.18-22,Mateus 10.5-23
Ano A,Próprio 8,Qui,Complementar,Salmo 89.1-4; 15-18,Jeremias 25.1-7,Gálatas 5.2-6
Ano A,Próprio 8,Qui,Semicontínua,Salmo 13,Miqueias 7.18-20,Gálatas 5.2-6
Ano A,Próprio 8,Sex,Complementar,Salmo 89.1-4; 15-18,Jeremias 25.8-14,Gálatas 5.7-12
